feature,selection_probability
number_inpatient,1.0
number_diagnoses,1.0
age,0.94
time_in_hospital,0.6
discharge_disposition_id_1,0.36
num_medications,0.22
diag_3_mental,0.0
diag_3_musculoskeletal,0.0
diag_3_injury,0.0
diag_3_infectious,0.0
diag_2_skin,0.0
diag_3_neoplasms,0.0
diag_3_external_E,0.0
diag_3_endocrine,0.0
diag_3_digestive,0.0
diag_3_circulatory,0.0
diag_3_blood,0.0
diag_2_symptoms,0.0
diag_2_supplementary_V,0.0
diag_3_genitourinary,0.0
diag_2_nervous,0.0
diag_2_respiratory,0.0
diag_3_other,0.0
diag_2_neoplasms,0.0
diag_2_musculoskeletal,0.0
diag_2_mental,0.0
diag_2_injury,0.0
diag_2_infectious,0.0
diag_2_genitourinary,0.0
diag_2_endocrine,0.0
diag_2_digestive,0.0
diag_2_circulatory,0.0
diag_2_blood,0.0
diag_1_symptoms,0.0
diag_3_nervous,0.0
diag_3_supplementary_V,0.0
diag_3_respiratory,0.0
diag_3_skin,0.0
medical_specialty_missing,0.0
A1Cresult_missing,0.0
max_glu_serum_missing,0.0
weight_missing,0.0
diabetesMed,0.0
change,0.0
insulin_Up,0.0
insulin_Steady,0.0
insulin_No,0.0
insulin_Down,0.0
rosiglitazone_Steady,0.0
rosiglitazone_No,0.0
pioglitazone_Steady,0.0
pioglitazone_No,0.0
glyburide_Steady,0.0
glyburide_No,0.0
glipizide_Steady,0.0
glipizide_No,0.0
glimepiride_Steady,0.0
glimepiride_No,0.0
repaglinide_Steady,0.0
repaglinide_No,0.0
metformin_Up,0.0
metformin_Steady,0.0
metformin_No,0.0
diag_3_symptoms,0.0
diag_1_skin,0.0
diag_1_supplementary_V,0.0
diag_1_nervous,0.0
diag_1_respiratory,0.0
admission_source_id_7,0.0
admission_source_id_5,0.0
admission_source_id_4,0.0
admission_source_id_2,0.0
admission_source_id_17,0.0
admission_source_id_1,0.0
discharge_disposition_id_6,0.0
discharge_disposition_id_5,0.0
discharge_disposition_id_4,0.0
discharge_disposition_id_3,0.0
discharge_disposition_id_25,0.0
discharge_disposition_id_22,0.0
discharge_disposition_id_2,0.0
discharge_disposition_id_18,0.0
admission_type_id_6,0.0
admission_type_id_5,0.0
admission_type_id_3,0.0
admission_type_id_2,0.0
admission_type_id_1,0.0
gender_Male,0.0
race_nan,0.0
race_Other,0.0
race_Hispanic,0.0
race_Caucasian,0.0
race_AfricanAmerican,0.0
number_emergency,0.0
number_outpatient,0.0
num_procedures,0.0
admission_source_id_6,0.0
payer_code_BC,0.0
num_lab_procedures,0.0
payer_code_CP,0.0
diag_1_neoplasms,0.0
diag_1_musculoskeletal,0.0
diag_1_mental,0.0
diag_1_injury,0.0
diag_1_infectious,0.0
diag_1_genitourinary,0.0
diag_1_endocrine,0.0
diag_1_digestive,0.0
diag_1_circulatory,0.0
diag_1_blood,0.0
medical_specialty_nan,0.0
medical_specialty_Surgery-General,0.0
medical_specialty_Pulmonology,0.0
medical_specialty_Psychiatry,0.0
medical_specialty_Orthopedics-Reconstructive,0.0
medical_specialty_Orthopedics,0.0
medical_specialty_Nephrology,0.0
medical_specialty_InternalMedicine,0.0
medical_specialty_Family/GeneralPractice,0.0
medical_specialty_Emergency/Trauma,0.0
medical_specialty_Cardiology,0.0
payer_code_nan,0.0
payer_code_UN,0.0
payer_code_SP,0.0
payer_code_MD,0.0
payer_code_MC,0.0
payer_code_HM,0.0
payer_code_missing,0.0
