model,config_id,params,train_AUROC,AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,F1,threshold,train_valid_gap
LR,0,"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs', 'max_iter': 5000, 'class_weight': 'balanced', 'random_state': 42}",0.6708,0.6492,0.183,0.2341,0.6091,0.6129,0.16,0.9283,0.2534,0.4917,0.0216
LR,1,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs', 'max_iter': 5000, 'class_weight': 'balanced', 'random_state': 42}",0.6768,0.6503,0.1872,0.2325,0.5964,0.6293,0.163,0.928,0.256,0.4922,0.0265
LR,2,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs', 'max_iter': 5000, 'class_weight': 'balanced', 'random_state': 42}",0.6773,0.6483,0.187,0.2327,0.5882,0.6307,0.1616,0.9268,0.2536,0.4913,0.029
LR,3,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs', 'max_iter': 5000, 'class_weight': 'balanced', 'random_state': 42}",0.6773,0.6476,0.1869,0.2327,0.5515,0.6652,0.1662,0.9246,0.2555,0.5048,0.0297
RF,0,"{'n_estimators': 300, 'max_depth': 4, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1}",0.6723,0.6455,0.1821,0.2451,0.6689,0.5477,0.1518,0.9318,0.2475,0.4981,0.0268
RF,1,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_leaf': 30, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1}",0.6784,0.6462,0.1853,0.2444,0.6567,0.5584,0.1525,0.9307,0.2475,0.5001,0.0322
RF,2,"{'n_estimators': 500, 'max_depth': 6, 'min_samples_leaf': 30, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1}",0.6861,0.6508,0.1897,0.242,0.6227,0.6005,0.1587,0.9293,0.2529,0.5066,0.0353
RF,3,"{'n_estimators': 500, 'max_depth': 6, 'min_samples_leaf': 50, 'max_features': 0.5, 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1}",0.6835,0.6522,0.1939,0.2286,0.6286,0.6005,0.16,0.9304,0.255,0.4885,0.0313
XGBoost,0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'min_child_weight': 10, 'random_state': 42, 'eval_metric': 'logloss', 'use_label_encoder': False, 'scale_pos_weight': np.float64(7.1706867009358115)}",0.6968,0.6599,0.1975,0.2302,0.5628,0.6743,0.173,0.9272,0.2646,0.5178,0.0369
XGBoost,1,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.7, 'colsample_bytree': 0.7, 'reg_alpha': 1.0, 'reg_lambda': 3.0, 'min_child_weight': 20, 'random_state': 42, 'eval_metric': 'logloss', 'use_label_encoder': False, 'scale_pos_weight': np.float64(7.1706867009358115)}",0.6939,0.6606,0.1997,0.2311,0.551,0.6818,0.1732,0.9262,0.2636,0.5221,0.0333
XGBoost,2,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'min_child_weight': 10, 'random_state': 42, 'eval_metric': 'logloss', 'use_label_encoder': False, 'scale_pos_weight': np.float64(7.1706867009358115)}",0.7313,0.6601,0.2014,0.2238,0.5628,0.6762,0.1738,0.9274,0.2656,0.5095,0.0712
XGBoost,3,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.02, 'subsample': 0.6, 'colsample_bytree': 0.6, 'reg_alpha': 1.0, 'reg_lambda': 5.0, 'min_child_weight': 30, 'random_state': 42, 'eval_metric': 'logloss', 'use_label_encoder': False, 'scale_pos_weight': np.float64(7.1706867009358115)}",0.7113,0.6611,0.2029,0.2272,0.5955,0.6408,0.1671,0.929,0.261,0.5014,0.0502
LightGBM,0,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'min_child_samples': 50, 'class_weight': 'balanced', 'random_state': 42, 'verbose': -1}",0.6939,0.6596,0.2022,0.2297,0.5683,0.6635,0.1697,0.927,0.2613,0.5115,0.0343
LightGBM,1,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.7, 'colsample_bytree': 0.7, 'reg_alpha': 1.0, 'reg_lambda': 3.0, 'min_child_samples': 80, 'class_weight': 'balanced', 'random_state': 42, 'verbose': -1}",0.6908,0.6586,0.2014,0.2302,0.537,0.6947,0.1755,0.9253,0.2645,0.5232,0.0322
LightGBM,2,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'min_child_samples': 50, 'class_weight': 'balanced', 'random_state': 42, 'verbose': -1}",0.726,0.6604,0.2073,0.2245,0.571,0.66,0.1689,0.9271,0.2607,0.5045,0.0656
LightGBM,3,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.02, 'subsample': 0.6, 'colsample_bytree': 0.6, 'reg_alpha': 1.0, 'reg_lambda': 5.0, 'min_child_samples': 100, 'class_weight': 'balanced', 'random_state': 42, 'verbose': -1}",0.7081,0.6609,0.2039,0.227,0.6535,0.5796,0.1583,0.9325,0.2549,0.4781,0.0472
