threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.01,0.080727,0.080727,0.0
0.02,0.071347,0.071347,0.0
0.03,0.061773,0.061773,0.0
0.04,0.052,0.052,0.0
0.05,0.042021,0.042021,0.0
0.06,0.03183,0.03183,0.0
0.07,0.02142,0.02142,0.0
0.08,0.010783,0.010783,0.0
0.09,-8.8e-05,-8.8e-05,0.0
0.1,-0.0112,-0.0112,0.0
0.11,-0.022554,-0.022562,0.0
0.12,-0.034149,-0.034182,0.0
0.13,-0.046016,-0.046069,0.0
0.14,-0.058146,-0.058232,0.0
0.15,-0.070606,-0.070682,0.0
0.16,-0.083251,-0.083428,0.0
0.17,-0.096141,-0.096482,0.0
0.18,-0.109186,-0.109853,0.0
0.19,-0.122596,-0.123555,0.0
0.2,-0.136077,-0.1376,0.0
0.21,-0.14951,-0.152,0.0
0.22,-0.16294,-0.166769,0.0
0.23,-0.176356,-0.181922,0.0
0.24,-0.189555,-0.197473,0.0
0.25,-0.202207,-0.21344,0.0
0.26,-0.215339,-0.229838,0.0
0.27,-0.22741,-0.246685,0.0
0.28,-0.239114,-0.264,0.0
0.29,-0.249966,-0.281803,0.0
0.3,-0.260411,-0.300114,0.0
0.31,-0.26919,-0.318956,0.0
0.32,-0.275829,-0.338353,0.0
0.33,-0.282244,-0.358328,0.0
0.34,-0.286258,-0.378909,0.0
0.35,-0.289565,-0.400123,0.0
0.36,-0.291446,-0.422,0.0
0.37,-0.291827,-0.444571,0.0
0.38,-0.289506,-0.467871,0.0
0.39,-0.288339,-0.491934,0.0
0.4,-0.284856,-0.5168,0.0
0.41,-0.281658,-0.542508,0.0
0.42,-0.276629,-0.569103,0.0
0.43,-0.269688,-0.596631,0.0
0.44,-0.263262,-0.625143,0.0
0.45,-0.256593,-0.654691,0.0
0.46,-0.249739,-0.685333,0.0
0.47,-0.241141,-0.717132,0.0
0.48,-0.231174,-0.750153,0.0
0.49,-0.219987,-0.78447,0.0
