feature,mean_abs_shap,rank
discharge_disposition_id_1,0.2124645462201924,1
number_inpatient,0.20125147807276147,2
number_diagnoses,0.09955795148415787,3
medical_specialty_nan,0.07353359059869297,4
diabetesMed,0.062181360143338874,5
discharge_disposition_id_6,0.05762891059896155,6
payer_code_nan,0.05470872078308471,7
insulin_No,0.047766992373095764,8
number_emergency,0.04353699973874331,9
diag_1_circulatory,0.039714701790165695,10
num_medications,0.039596919971506425,11
metformin_Steady,0.03414983782167044,12
admission_source_id_1,0.03347553519287221,13
A1Cresult_missing,0.03319746027864571,14
age,0.03194663012561831,15
num_procedures,0.031834978841398874,16
admission_type_id_3,0.03037538063821856,17
admission_source_id_7,0.029846145737819935,18
admission_type_id_1,0.028720094920452268,19
insulin_Steady,0.0270470404835521,20
discharge_disposition_id_22,0.022889581342702706,21
diag_2_neoplasms,0.020133903377556085,22
diag_2_endocrine,0.01972002753097005,23
medical_specialty_Family/GeneralPractice,0.019374936334197485,24
diag_1_endocrine,0.01875917454938525,25
diag_3_circulatory,0.017287364268304226,26
diag_3_genitourinary,0.017057520263055383,27
diag_1_symptoms,0.01690786503140677,28
num_lab_procedures,0.01637054348839656,29
discharge_disposition_id_3,0.016069076218394266,30
insulin_Down,0.01562683502137629,31
diag_2_respiratory,0.014030307133201261,32
gender_Male,0.013122811663540818,33
medical_specialty_Emergency/Trauma,0.013114405317521938,34
diag_3_symptoms,0.012376634594647905,35
admission_type_id_5,0.011824460683044455,36
diag_1_respiratory,0.011648649864931207,37
glimepiride_Steady,0.011049370432328221,38
diag_3_supplementary_V,0.01097750192973197,39
rosiglitazone_No,0.010902525832738966,40
medical_specialty_Cardiology,0.01027126352036678,41
discharge_disposition_id_18,0.00971035569457757,42
admission_source_id_17,0.009644412189099904,43
diag_2_skin,0.009101706810977455,44
diag_1_mental,0.00890907563155436,45
diag_3_other,0.008493543371912082,46
medical_specialty_InternalMedicine,0.008478838373344599,47
medical_specialty_Orthopedics-Reconstructive,0.008211506172102716,48
admission_source_id_4,0.008162485923867119,49
diag_3_digestive,0.007969256851006254,50
discharge_disposition_id_25,0.007879798579300643,51
payer_code_MC,0.007447974634964261,52
diag_2_genitourinary,0.0069216498079524786,53
admission_type_id_2,0.006843475595145336,54
payer_code_BC,0.006804703872251521,55
payer_code_HM,0.006083170374532172,56
diag_1_skin,0.00586784203181073,57
diag_3_respiratory,0.005799612359072582,58
admission_source_id_6,0.005708108403101235,59
diag_2_musculoskeletal,0.005635624484384489,60
glipizide_No,0.005423647406464886,61
medical_specialty_Nephrology,0.005369015286901038,62
time_in_hospital,0.0052421064791564045,63
glyburide_No,0.004887471332898879,64
change,0.00471547752532092,65
diag_1_digestive,0.004679525892809718,66
discharge_disposition_id_4,0.0044965083680732175,67
admission_source_id_5,0.004393181100005851,68
payer_code_SP,0.004219287125027535,69
pioglitazone_Steady,0.003938907115603163,70
max_glu_serum_missing,0.003855203767100448,71
diag_1_supplementary_V,0.0037116659519752767,72
discharge_disposition_id_2,0.0033415337644131095,73
metformin_Up,0.0032273404347979164,74
diag_2_blood,0.0031864683492791976,75
diag_1_blood,0.0030618479191332646,76
insulin_Up,0.003011637645975997,77
diag_3_nervous,0.0029966690533775008,78
diag_2_digestive,0.002818314539028344,79
diag_1_infectious,0.0027503532915860917,80
discharge_disposition_id_5,0.002669293111177872,81
diag_3_mental,0.002621217236847927,82
diag_3_blood,0.002523425000816294,83
diag_3_musculoskeletal,0.0024882665203731892,84
admission_source_id_2,0.0024659748133215374,85
diag_2_mental,0.00246203409977641,86
diag_1_neoplasms,0.0024010601070556634,87
diag_3_endocrine,0.002397214865200705,88
repaglinide_No,0.002318807812090819,89
number_outpatient,0.0022323180860881102,90
diag_2_injury,0.002085800657664442,91
medical_specialty_Surgery-General,0.0019321082324203456,92
diag_2_symptoms,0.001848105742983684,93
diag_3_infectious,0.0018194748333165357,94
diag_2_supplementary_V,0.0017024940233133026,95
medical_specialty_Orthopedics,0.001598873748358583,96
payer_code_UN,0.001517581729488239,97
weight_missing,0.0015061929354007152,98
diag_2_nervous,0.0012126787127792187,99
diag_2_infectious,0.0009611952907974308,100
