feature,mean_abs_shap,rank
number_inpatient,0.24525908655604267,1
discharge_disposition_id_1,0.14947523653370579,2
number_diagnoses,0.09728176852872208,3
discharge_disposition_id_3,0.05064490643264191,4
number_emergency,0.048525338984511106,5
diabetesMed,0.04649609389561564,6
age,0.04522039987026284,7
diag_1_circulatory,0.04325522470049935,8
num_lab_procedures,0.042969248439872494,9
payer_code_nan,0.04072848384330461,10
num_medications,0.03838550727159225,11
time_in_hospital,0.0353538507813224,12
insulin_No,0.03282820133338602,13
discharge_disposition_id_22,0.02796957514534086,14
medical_specialty_nan,0.02248161151109739,15
metformin_Steady,0.02116949769946816,16
medical_specialty_Emergency/Trauma,0.019333754679908395,17
A1Cresult_missing,0.019250359410677285,18
diag_1_endocrine,0.017295742858729694,19
insulin_Down,0.0167807556505443,20
diag_2_endocrine,0.014967179083939613,21
num_procedures,0.014541028068266055,22
diag_2_neoplasms,0.013188614078811826,23
number_outpatient,0.01209490634585427,24
diag_3_genitourinary,0.011630211683680659,25
discharge_disposition_id_6,0.011385572444517171,26
medical_specialty_Orthopedics-Reconstructive,0.011109846188561433,27
diag_2_respiratory,0.011080402624328868,28
glimepiride_Steady,0.011036877035622878,29
medical_specialty_Cardiology,0.010914303445768892,30
admission_source_id_7,0.010056099407949692,31
diag_3_supplementary_V,0.009802980311927082,32
admission_source_id_1,0.00907864529119873,33
glyburide_No,0.009021782432670229,34
diag_1_symptoms,0.008683522806834472,35
rosiglitazone_No,0.00816090132699886,36
diag_2_skin,0.008009202580545972,37
admission_source_id_17,0.007923112093833923,38
admission_source_id_4,0.007448351556431155,39
gender_Male,0.00678379269447999,40
diag_2_musculoskeletal,0.006709959456944763,41
admission_type_id_3,0.006050507184536616,42
diag_3_circulatory,0.005614859413596573,43
insulin_Up,0.005531884882802988,44
discharge_disposition_id_25,0.005227945970196152,45
diag_3_symptoms,0.005028354933821678,46
diag_1_respiratory,0.005008062516995123,47
admission_type_id_2,0.004766344562994352,48
admission_source_id_2,0.004702600050764441,49
discharge_disposition_id_2,0.004453136863274559,50
diag_1_skin,0.004048598869385887,51
payer_code_MC,0.004028151228578065,52
payer_code_HM,0.003997908405388619,53
discharge_disposition_id_5,0.003593489917862681,54
glipizide_No,0.003481296449771027,55
admission_type_id_5,0.003062632025586793,56
medical_specialty_Family/GeneralPractice,0.00303547262972977,57
diag_2_blood,0.002986929105292002,58
medical_specialty_Nephrology,0.00294886932867579,59
diag_3_digestive,0.0028939002475145423,60
diag_2_genitourinary,0.0028280521958938287,61
admission_source_id_5,0.0027706382750448465,62
medical_specialty_InternalMedicine,0.0025851667217441513,63
metformin_Up,0.0025479210267699824,64
diag_3_respiratory,0.002443916178186485,65
diag_1_neoplasms,0.0023836012213142386,66
change,0.0023420173946312535,67
insulin_Steady,0.0023204999187278756,68
pioglitazone_Steady,0.0023021099285674244,69
admission_type_id_1,0.00223468884541536,70
diag_2_infectious,0.0021098607948957506,71
diag_3_endocrine,0.0020831258418387735,72
diag_2_nervous,0.0020021918145076774,73
discharge_disposition_id_4,0.001959517494860345,74
diag_1_digestive,0.0019406611235733438,75
payer_code_SP,0.0018190345828461563,76
diag_1_infectious,0.0018089107796724622,77
diag_1_mental,0.0016850939433706907,78
discharge_disposition_id_18,0.0016142190917610379,79
diag_3_nervous,0.0016063969128543827,80
diag_3_infectious,0.0015873555144971757,81
diag_3_other,0.001432911159390952,82
medical_specialty_Orthopedics,0.001048590293228026,83
weight_missing,0.0009954289166866502,84
diag_3_mental,0.000902463158807383,85
diag_1_supplementary_V,0.0008770916877942651,86
payer_code_UN,0.0006724403852065733,87
repaglinide_No,0.0006565871633304195,88
diag_2_supplementary_V,0.0006380636208166829,89
payer_code_BC,0.0005459739746840183,90
diag_1_blood,0.0003777572963945541,91
diag_3_blood,0.0003635263456337289,92
diag_2_digestive,0.00032898663566448326,93
max_glu_serum_missing,0.00030877526733559416,94
diag_2_injury,0.00028935189140378496,95
diag_2_symptoms,0.00026572791422368124,96
medical_specialty_Surgery-General,0.00024512710497830766,97
diag_3_musculoskeletal,9.9405345774721e-05,98
diag_2_mental,8.268305111443625e-05,99
admission_source_id_6,7.139724567765375e-05,100
