feature,mean_abs_shap,rank
number_inpatient,0.06107792138791375,1
discharge_disposition_id_1,0.04677260633076917,2
number_diagnoses,0.020259448875878588,3
discharge_disposition_id_3,0.006052668258910466,4
number_emergency,0.005751117239967632,5
discharge_disposition_id_22,0.005008801863593737,6
num_lab_procedures,0.004579127434101471,7
time_in_hospital,0.004124566347885289,8
num_medications,0.0036416947589999085,9
insulin_No,0.0032510617070932997,10
age,0.0031896194414540798,11
diabetesMed,0.0029383260417304258,12
discharge_disposition_id_6,0.002179389753795967,13
change,0.001169288238709081,14
medical_specialty_nan,0.001128753583604324,15
diag_1_circulatory,0.0011056827146258348,16
metformin_Steady,0.0009678162929810056,17
discharge_disposition_id_25,0.0006368782244979962,18
glimepiride_Steady,0.0005247696749329076,19
num_procedures,0.0004968353341113698,20
A1Cresult_missing,0.0004938287517245955,21
insulin_Down,0.0004916117689429841,22
diag_1_endocrine,0.0004882790490320561,23
admission_source_id_7,0.00042714634912483277,24
diag_3_circulatory,0.0004039948548674968,25
payer_code_nan,0.00040374021484150476,26
number_outpatient,0.00036806419981210185,27
medical_specialty_Cardiology,0.0003374385916549002,28
discharge_disposition_id_18,0.0003034183087860358,29
insulin_Up,0.0003032836890868616,30
admission_source_id_4,0.0002961985203561973,31
discharge_disposition_id_5,0.0002929461185184664,32
diag_3_genitourinary,0.0002645578435386869,33
admission_type_id_5,0.00023936050796858146,34
diag_2_respiratory,0.00022540642171189136,35
payer_code_MC,0.00021694578291873819,36
payer_code_HM,0.00018779247279681835,37
gender_Male,0.00018663421724516777,38
diag_2_neoplasms,0.00017584029203700127,39
payer_code_BC,0.00017435798206581236,40
admission_type_id_1,0.00016838733478131434,41
admission_type_id_3,0.0001646450742535351,42
diag_1_symptoms,0.00015815111761901797,43
diag_3_other,0.0001508271336668053,44
diag_2_skin,0.0001416257879432941,45
admission_source_id_17,0.00014087275907896646,46
medical_specialty_InternalMedicine,0.00013972742057700307,47
diag_3_endocrine,0.00013382949779676894,48
diag_3_supplementary_V,0.00013318801665500587,49
insulin_Steady,0.00012838413409188427,50
medical_specialty_Emergency/Trauma,0.0001243747512740993,51
diag_1_respiratory,0.00011397785847514104,52
admission_source_id_5,0.00011033629754285815,53
diag_3_respiratory,0.00010627535176022318,54
discharge_disposition_id_2,0.00010195448157985991,55
glipizide_No,9.183023942496685e-05,56
diag_2_blood,8.831426730273262e-05,57
diag_2_endocrine,8.628351214097835e-05,58
admission_source_id_1,8.53941431126918e-05,59
weight_missing,7.945146815991397e-05,60
diag_2_genitourinary,7.620343854344341e-05,61
pioglitazone_Steady,7.404192464431846e-05,62
medical_specialty_Orthopedics-Reconstructive,6.747668074309799e-05,63
medical_specialty_Family/GeneralPractice,6.36007148509908e-05,64
admission_type_id_2,5.665654181075966e-05,65
diag_2_musculoskeletal,5.4448575333417454e-05,66
rosiglitazone_No,4.8777635514879915e-05,67
diag_2_supplementary_V,4.6240077021334404e-05,68
glyburide_No,3.908928755680331e-05,69
diag_1_mental,3.8278069815810355e-05,70
diag_2_digestive,3.349156450904965e-05,71
diag_3_mental,3.186993393313283e-05,72
diag_3_symptoms,2.9760075785466135e-05,73
diag_1_digestive,2.959366955123875e-05,74
diag_1_supplementary_V,2.9537777178065984e-05,75
payer_code_UN,2.7667024195220623e-05,76
diag_3_digestive,2.7517537145013128e-05,77
diag_1_skin,2.633371252451553e-05,78
medical_specialty_Nephrology,2.5523542408964223e-05,79
diag_3_musculoskeletal,2.2158184594636625e-05,80
diag_2_symptoms,2.2007187246049416e-05,81
admission_source_id_6,2.110416644241924e-05,82
diag_1_blood,1.8905378092503835e-05,83
diag_2_mental,1.8733825093331625e-05,84
diag_1_neoplasms,1.8667594959342724e-05,85
diag_3_infectious,1.6050934640179545e-05,86
max_glu_serum_missing,1.3524287444938653e-05,87
payer_code_SP,1.0989738512152954e-05,88
metformin_Up,9.007384918895703e-06,89
diag_1_infectious,8.511987453721198e-06,90
diag_3_blood,8.443520588025552e-06,91
diag_2_injury,7.120383172891705e-06,92
diag_2_infectious,6.243761813875565e-06,93
medical_specialty_Orthopedics,5.657446072564192e-06,94
diag_3_nervous,4.9833261756339465e-06,95
repaglinide_No,4.3415490704501135e-06,96
discharge_disposition_id_4,3.130995603078217e-06,97
medical_specialty_Surgery-General,2.9362632678248665e-06,98
admission_source_id_2,2.936195695037843e-06,99
diag_2_nervous,0.0,100
