feature,mean_abs_shap,rank
number_inpatient,0.24340990302646365,1
discharge_disposition_id_1,0.15403667413180044,2
number_diagnoses,0.09554005482658691,3
number_emergency,0.047223332310739836,4
diabetesMed,0.04408425848891339,5
discharge_disposition_id_3,0.0408566582734593,6
num_lab_procedures,0.03951857949757967,7
insulin_No,0.03848112369854862,8
age,0.03791692493470364,9
num_medications,0.034680050837162905,10
diag_1_circulatory,0.03462452645564467,11
time_in_hospital,0.03432472224285086,12
payer_code_nan,0.030609806725256115,13
discharge_disposition_id_22,0.02724730716942775,14
medical_specialty_nan,0.02148913781130457,15
A1Cresult_missing,0.020130487520321923,16
metformin_Steady,0.018748871793070502,17
num_procedures,0.017507537471064896,18
discharge_disposition_id_6,0.015524936626094214,19
insulin_Down,0.014725057622256914,20
diag_1_endocrine,0.014519821105472853,21
diag_2_neoplasms,0.012288563201767171,22
diag_1_symptoms,0.012230655516425893,23
diag_2_endocrine,0.012055210460601973,24
number_outpatient,0.011588403247929108,25
medical_specialty_Emergency/Trauma,0.011572722669768599,26
admission_source_id_1,0.011414772959540978,27
admission_source_id_7,0.011163178673545278,28
diag_3_genitourinary,0.01075695623532796,29
diag_2_respiratory,0.010351237775233096,30
medical_specialty_Cardiology,0.010232728301382592,31
diag_3_supplementary_V,0.008988559408751078,32
glimepiride_Steady,0.008842236816377105,33
medical_specialty_Orthopedics-Reconstructive,0.008809876184860012,34
diag_1_respiratory,0.008071202739915781,35
gender_Male,0.007780420276457694,36
insulin_Up,0.007329887305171182,37
admission_source_id_4,0.006499290446279267,38
payer_code_MC,0.006144952725507899,39
rosiglitazone_No,0.006136045233811187,40
diag_2_skin,0.00597430826836826,41
diag_3_circulatory,0.0059559589558925005,42
admission_type_id_3,0.005680594755424023,43
diag_2_musculoskeletal,0.005617701095203737,44
admission_type_id_5,0.00550594779384417,45
discharge_disposition_id_25,0.005296722343707923,46
payer_code_BC,0.005049552857244275,47
diag_1_skin,0.0049408783912714,48
diag_3_symptoms,0.004927795961178423,49
insulin_Steady,0.004767340697157851,50
discharge_disposition_id_2,0.004159607097532844,51
admission_source_id_17,0.004058564387703731,52
payer_code_HM,0.003939550369854097,53
admission_type_id_1,0.003697182346310138,54
diag_2_genitourinary,0.0036738776449822996,55
glyburide_No,0.003376322767277898,56
diag_1_digestive,0.0031738169307210093,57
discharge_disposition_id_5,0.003167763631686066,58
diag_3_other,0.003141245732573736,59
diag_1_mental,0.0028465538974836997,60
admission_source_id_5,0.0027705378131904603,61
metformin_Up,0.002619982184223229,62
glipizide_No,0.002579849141153244,63
diag_3_digestive,0.002494702982661982,64
diag_3_endocrine,0.002449209502894233,65
diag_3_respiratory,0.002349527356000691,66
medical_specialty_Nephrology,0.002219959807156992,67
medical_specialty_Family/GeneralPractice,0.0022167835917917926,68
discharge_disposition_id_18,0.0021522381260896824,69
diag_2_blood,0.0021096074930874614,70
discharge_disposition_id_4,0.0020627147655654693,71
admission_type_id_2,0.002006373064230538,72
diag_1_blood,0.001843566448410569,73
change,0.001565216282571346,74
pioglitazone_Steady,0.0015275886259791083,75
admission_source_id_2,0.0015206878243910612,76
medical_specialty_InternalMedicine,0.001464666964491339,77
diag_3_infectious,0.0014383555586941661,78
diag_1_supplementary_V,0.0013238286454401573,79
diag_2_supplementary_V,0.00128794255094559,80
diag_1_infectious,0.0012652136088978298,81
payer_code_UN,0.0012520175402278976,82
diag_3_mental,0.0011142213598168036,83
diag_3_nervous,0.0010972379387936236,84
diag_1_neoplasms,0.0010122326009224356,85
weight_missing,0.000935708751223427,86
admission_source_id_6,0.0008040481275985083,87
diag_2_symptoms,0.0007976645269949169,88
medical_specialty_Orthopedics,0.0007642793409756244,89
diag_3_blood,0.000747894995322421,90
diag_2_nervous,0.0007064413746152421,91
diag_2_digestive,0.0006245272360369576,92
payer_code_SP,0.0004283301358511377,93
diag_2_infectious,0.00040198231823436703,94
diag_2_injury,0.00039549045533283776,95
diag_3_musculoskeletal,0.0003429657220470843,96
diag_2_mental,0.000335669022224319,97
medical_specialty_Surgery-General,0.00016386173659397238,98
max_glu_serum_missing,0.00015442026620439428,99
repaglinide_No,0.00015390582511812313,100
