,Train,Valid,Test
N,61991,20424,16915
Unique patients,41987,13996,13996
"Female, n (%)",33666 (54.3%),10949 (53.6%),8836 (52.2%)
"Age [70-80), n (%)",16089 (26.0%),5077 (24.9%),4161 (24.6%)
"Caucasian, n (%)",44860 (72.4%),16272 (79.7%),13083 (77.3%)
"AfricanAmerican, n (%)",13596 (21.9%),3052 (14.9%),2122 (12.5%)
"Emergency admission, n (%)",30897 (49.8%),11560 (56.6%),9912 (58.6%)
"Time in hospital, median (IQR)",4 (2-6),4 (2-6),3 (2-5)
"Number diagnoses, median (IQR)",8 (5-9),9 (7-9),9 (7-9)
"Prior inpatient visits, median (IQR)",0 (0-1),0 (0-1),0 (0-0)
"Insulin prescribed, n (%)",31171 (50.3%),11793 (57.7%),9994 (59.1%)
"Readmitted <30d, n (%)",7587 (12.2%),2205 (10.8%),1521 (9.0%)
