dataset,condition,seed,model,test_auc_roc,test_auc_pr,test_brier,train_auc_roc,train_test_gap,threshold,n_total,L1,L2,L3,L4,L5
heart,ablation_L1,42,logistic_l2,0.8591,0.9179,0.1482,0.9227,0.0636,0.6232,297,False,True,True,True,True
heart,ablation_L1,123,random_forest,0.9078,0.9308,0.1282,1.0,0.0922,0.625,297,False,True,True,True,True
heart,ablation_L1,256,random_forest,0.9321,0.9437,0.1056,1.0,0.0679,0.555,297,False,True,True,True,True
heart,ablation_L1,512,logistic_l2,0.9258,0.9485,0.1026,0.9153,-0.0105,0.685,297,False,True,True,True,True
heart,ablation_L1,1024,logistic_l2,0.9088,0.9276,0.1144,0.9092,0.0004,0.6163,297,False,True,True,True,True
heart,ablation_L1,2048,logistic_l2,0.9029,0.9462,0.1171,0.9068,0.0039,0.715,297,False,True,True,True,True
heart,ablation_L1,4096,random_forest,0.9286,0.933,0.108,1.0,0.0714,0.555,297,False,True,True,True,True
heart,ablation_L1,8192,logistic_l2,0.913,0.9292,0.1162,0.912,-0.001,0.6379,297,False,True,True,True,True
heart,ablation_L1,16384,random_forest,0.9307,0.9424,0.1143,1.0,0.0693,0.72,297,False,True,True,True,True
heart,ablation_L1,32768,random_forest,0.9099,0.9111,0.128,1.0,0.0901,0.745,297,False,True,True,True,True
heart,ablation_L2,42,random_forest,0.9319,0.9411,0.0989,1.0,0.0681,0.56,297,True,False,True,True,True
heart,ablation_L2,123,random_forest,0.8845,0.8631,0.1515,1.0,0.1155,0.275,297,True,False,True,True,True
heart,ablation_L2,256,logistic_l2,0.9129,0.9035,0.119,0.9291,0.0162,0.5485,297,True,False,True,True,True
heart,ablation_L2,512,random_forest,0.8839,0.884,0.138,1.0,0.1161,0.425,297,True,False,True,True,True
heart,ablation_L2,1024,random_forest,0.8677,0.8803,0.1426,1.0,0.1323,0.4,297,True,False,True,True,True
heart,ablation_L2,2048,random_forest,0.8845,0.9007,0.1359,1.0,0.1155,0.605,297,True,False,True,True,True
heart,ablation_L2,4096,random_forest,0.9012,0.8817,0.1274,1.0,0.0988,0.6,297,True,False,True,True,True
heart,ablation_L2,8192,random_forest,0.9609,0.9619,0.0824,1.0,0.0391,0.66,297,True,False,True,True,True
heart,ablation_L2,16384,logistic_l2,0.8895,0.8809,0.1402,0.9474,0.0579,0.5811,297,True,False,True,True,True
heart,ablation_L2,32768,logistic_l2,0.8415,0.8214,0.1931,0.9555,0.114,0.8078,297,True,False,True,True,True
heart,ablation_L3,42,logistic_l2,0.8671,0.923,0.1386,0.9199,0.0528,0.5411,297,True,True,False,True,True
heart,ablation_L3,123,random_forest,0.9211,0.9401,0.1214,1.0,0.0789,0.58,297,True,True,False,True,True
heart,ablation_L3,256,random_forest,0.9331,0.9399,0.1071,1.0,0.0669,0.55,297,True,True,False,True,True
heart,ablation_L3,512,logistic_l2,0.9141,0.9405,0.1096,0.9111,-0.003,0.8148,297,True,True,False,True,True
heart,ablation_L3,1024,logistic_l2,0.9118,0.9269,0.1195,0.9148,0.003,0.7368,297,True,True,False,True,True
heart,ablation_L3,2048,logistic_l2,0.9189,0.9523,0.1114,0.9091,-0.0098,0.5651,297,True,True,False,True,True
heart,ablation_L3,4096,random_forest,0.9311,0.9327,0.1081,1.0,0.0689,0.555,297,True,True,False,True,True
heart,ablation_L3,8192,random_forest,0.9027,0.9116,0.1334,1.0,0.0973,0.265,297,True,True,False,True,True
heart,ablation_L3,16384,logistic_l2,0.9141,0.917,0.1091,0.9179,0.0038,0.611,297,True,True,False,True,True
heart,ablation_L3,32768,random_forest,0.9128,0.9148,0.1337,1.0,0.0872,0.86,297,True,True,False,True,True
heart,ablation_L4,42,logistic_l2,0.9299,0.9549,0.1129,0.9279,-0.002,0.5962,297,True,True,True,False,True
heart,ablation_L4,123,logistic_l2,0.8729,0.9048,0.1396,0.9293,0.0564,0.4417,297,True,True,True,False,True
heart,ablation_L4,256,random_forest,0.9384,0.9555,0.1157,1.0,0.0616,0.42,297,True,True,True,False,True
heart,ablation_L4,512,random_forest,0.9142,0.9222,0.1189,1.0,0.0858,0.54,297,True,True,True,False,True
heart,ablation_L4,1024,random_forest,0.8549,0.8395,0.148,1.0,0.1451,0.79,297,True,True,True,False,True
heart,ablation_L4,2048,random_forest,0.8854,0.9237,0.1417,1.0,0.1146,0.57,297,True,True,True,False,True
heart,ablation_L4,4096,random_forest,0.9142,0.9395,0.1231,1.0,0.0858,0.465,297,True,True,True,False,True
heart,ablation_L4,8192,random_forest,0.9362,0.9368,0.0975,1.0,0.0638,0.49,297,True,True,True,False,True
heart,ablation_L4,16384,logistic_l2,0.8768,0.862,0.1426,0.9216,0.0448,0.7148,297,True,True,True,False,True
heart,ablation_L4,32768,random_forest,0.8564,0.8831,0.1597,1.0,0.1436,0.645,297,True,True,True,False,True
heart,ablation_L5,42,logistic_l2,0.8571,0.9133,0.1502,0.9259,0.0688,0.6669,297,True,True,True,True,False
heart,ablation_L5,123,random_forest,0.9108,0.9362,0.121,1.0,0.0892,0.38,297,True,True,True,True,False
heart,ablation_L5,256,random_forest,0.9214,0.9299,0.1097,1.0,0.0786,0.665,297,True,True,True,True,False
heart,ablation_L5,512,logistic_l2,0.9326,0.9514,0.1024,0.9166,-0.016,0.4085,297,True,True,True,True,False
heart,ablation_L5,1024,logistic_l2,0.9059,0.9256,0.1184,0.9157,0.0098,0.5379,297,True,True,True,True,False
heart,ablation_L5,2048,logistic_l2,0.9039,0.9468,0.1167,0.9077,0.0038,0.5416,297,True,True,True,True,False
heart,ablation_L5,4096,random_forest,0.9267,0.933,0.1109,1.0,0.0733,0.635,297,True,True,True,True,False
heart,ablation_L5,8192,random_forest,0.9027,0.9116,0.1334,1.0,0.0973,0.45,297,True,True,True,True,False
heart,ablation_L5,16384,logistic_l2,0.916,0.9132,0.1084,0.9143,-0.0017,0.7166,297,True,True,True,True,False
heart,ablation_L5,32768,random_forest,0.9202,0.9187,0.1236,1.0,0.0798,0.705,297,True,True,True,True,False
heart,all_leaky,42,random_forest,0.8596,0.9095,0.1568,1.0,0.1404,0.765,297,True,True,True,True,True
heart,all_leaky,123,random_forest,0.9108,0.9362,0.121,1.0,0.0892,0.58,297,True,True,True,True,True
heart,all_leaky,256,random_forest,0.9272,0.9385,0.112,1.0,0.0728,0.445,297,True,True,True,True,True
heart,all_leaky,512,logistic_l2,0.9248,0.9477,0.1026,0.9154,-0.0094,0.6842,297,True,True,True,True,True
heart,all_leaky,1024,logistic_l2,0.9069,0.9263,0.1144,0.9088,0.0019,0.6183,297,True,True,True,True,True
heart,all_leaky,2048,random_forest,0.9179,0.9511,0.1194,1.0,0.0821,0.615,297,True,True,True,True,True
heart,all_leaky,4096,random_forest,0.9267,0.933,0.1109,1.0,0.0733,0.48,297,True,True,True,True,True
heart,all_leaky,8192,random_forest,0.8925,0.9023,0.141,1.0,0.1075,0.32,297,True,True,True,True,True
heart,all_leaky,16384,logistic_l2,0.9141,0.917,0.1091,0.9179,0.0038,0.611,297,True,True,True,True,True
heart,all_leaky,32768,random_forest,0.9025,0.9046,0.1311,1.0,0.0975,0.67,297,True,True,True,True,True
heart,clean,42,random_forest,0.8806,0.8148,0.1486,1.0,0.1194,0.62,297,False,False,False,False,False
heart,clean,123,random_forest,0.8677,0.869,0.1467,1.0,0.1323,0.33,297,False,False,False,False,False
heart,clean,256,logistic_l2,0.8349,0.8226,0.1517,0.9067,0.0718,0.6597,297,False,False,False,False,False
heart,clean,512,logistic_l2,0.8911,0.9132,0.1437,0.9166,0.0255,0.4979,297,False,False,False,False,False
heart,clean,1024,random_forest,0.8659,0.8969,0.1664,1.0,0.1341,0.435,297,False,False,False,False,False
heart,clean,2048,hist_gb,0.8258,0.8428,0.2029,1.0,0.1742,0.2659,297,False,False,False,False,False
heart,clean,4096,random_forest,0.9355,0.9537,0.1016,1.0,0.0645,0.54,297,False,False,False,False,False
heart,clean,8192,logistic_l2,0.953,0.93,0.0881,0.9118,-0.0412,0.6781,297,False,False,False,False,False
heart,clean,16384,logistic_l2,0.8457,0.838,0.1601,0.9259,0.0802,0.7558,297,False,False,False,False,False
heart,clean,32768,logistic_l2,0.8754,0.8961,0.1431,0.9244,0.049,0.61,297,False,False,False,False,False
breast,ablation_L1,42,random_forest,0.9935,0.9917,0.0287,1.0,0.0065,0.655,569,False,True,True,True,True
breast,ablation_L1,123,random_forest,0.9916,0.9903,0.0285,1.0,0.0084,0.335,569,False,True,True,True,True
breast,ablation_L1,256,logistic_l2,0.9925,0.9927,0.032,0.9939,0.0014,0.3956,569,False,True,True,True,True
breast,ablation_L1,512,random_forest,0.9792,0.983,0.0539,1.0,0.0208,0.495,569,False,True,True,True,True
breast,ablation_L1,1024,logistic_l2,0.9925,0.993,0.034,0.9929,0.0004,0.7941,569,False,True,True,True,True
breast,ablation_L1,2048,random_forest,0.9889,0.9924,0.0309,1.0,0.0111,0.75,569,False,True,True,True,True
breast,ablation_L1,4096,logistic_l2,0.9938,0.995,0.0364,0.9947,0.0009,0.5985,569,False,True,True,True,True
breast,ablation_L1,8192,logistic_l2,0.99,0.9907,0.0427,0.9938,0.0038,0.6659,569,False,True,True,True,True
breast,ablation_L1,16384,hist_gb,0.9921,0.9915,0.0507,1.0,0.0079,0.0096,569,False,True,True,True,True
breast,ablation_L1,32768,logistic_l2,0.9982,0.9978,0.0212,0.9892,-0.009,0.4296,569,False,True,True,True,True
breast,ablation_L2,42,logistic_l2,0.9954,0.9924,0.0267,0.9949,-0.0005,0.365,569,True,False,True,True,True
breast,ablation_L2,123,hist_gb,0.9808,0.9777,0.0399,1.0,0.0192,0.1071,569,True,False,True,True,True
breast,ablation_L2,256,random_forest,0.9957,0.9932,0.0295,1.0,0.0043,0.57,569,True,False,True,True,True
breast,ablation_L2,512,logistic_l2,0.9785,0.9742,0.0435,0.9951,0.0166,0.3431,569,True,False,True,True,True
