Variable	Table	CodeOrValue	ValueDescription	Count	Cumulative	SkipToItem
MCQ160A	MCQ_L	2		5258	5258	
MCQ160A	MCQ_L	.	Missing	3937	9195	
MCQ160A	MCQ_L	1		2532	11727	
MCQ160A	MCQ_L	9		17	11744	
MCQ160B	MCQ_L	2		7448	7448	
MCQ160B	MCQ_L	.	Missing	3936	11384	
MCQ160B	MCQ_L	1		343	11727	
MCQ160B	MCQ_L	9		17	11744	
MCQ160C	MCQ_L	2		7371	7371	
MCQ160C	MCQ_L	.	Missing	3937	11308	
MCQ160C	MCQ_L	1		402	11710	
MCQ160C	MCQ_L	9		34	11744	
MCQ160D	MCQ_L	2		7602	7602	
MCQ160D	MCQ_L	.	Missing	3936	11538	
MCQ160D	MCQ_L	1		181	11719	
MCQ160D	MCQ_L	9		25	11744	
MCQ160E	MCQ_L	2		7462	7462	
MCQ160E	MCQ_L	.	Missing	3937	11399	
MCQ160E	MCQ_L	1		332	11731	
MCQ160E	MCQ_L	9		13	11744	
MCQ160F	MCQ_L	2		7418	7418	
MCQ160F	MCQ_L	.	Missing	3938	11356	
MCQ160F	MCQ_L	1		367	11723	
MCQ160F	MCQ_L	9		21	11744	
MCQ160M	MCQ_L	2		6734	6734	
MCQ160M	MCQ_L	.	Missing	3938	10672	
MCQ160M	MCQ_L	1		1053	11725	
MCQ160M	MCQ_L	9		18	11743	
MCQ160M	MCQ_L	7		1	11744	
MCQ170M	MCQ_L	.	Missing	10691	10691	
MCQ170M	MCQ_L	1		830	11521	
MCQ170M	MCQ_L	2		200	11721	
MCQ170M	MCQ_L	9		23	11744	
MCQ160P	MCQ_L	2		7226	7226	
MCQ160P	MCQ_L	.	Missing	3937	11163	
MCQ160P	MCQ_L	1		567	11730	
MCQ160P	MCQ_L	9		14	11744	
MCQ160L	MCQ_L	2		7369	7369	
MCQ160L	MCQ_L	.	Missing	3937	11306	
MCQ160L	MCQ_L	1		425	11731	
MCQ160L	MCQ_L	9		11	11742	
MCQ160L	MCQ_L	7		2	11744	
MCQ170L	MCQ_L	.	Missing	11319	11319	
MCQ170L	MCQ_L	1		243	11562	
MCQ170L	MCQ_L	2		127	11689	
MCQ170L	MCQ_L	9		54	11743	
MCQ170L	MCQ_L	7		1	11744	
MCQ510A	MCQ_L	.	Missing	11484	11484	
MCQ510A	MCQ_L	1		227	11711	
MCQ510A	MCQ_L	99		31	11742	
MCQ510A	MCQ_L	77		2	11744	
MCQ510B	MCQ_L	.	Missing	11740	11740	
MCQ510B	MCQ_L	2		4	11744	
MCQ510C	MCQ_L	.	Missing	11697	11697	
MCQ510C	MCQ_L	3		47	11744	
MCQ510D	MCQ_L	.	Missing	11682	11682	
MCQ510D	MCQ_L	4		62	11744	
MCQ510E	MCQ_L	.	Missing	11728	11728	
MCQ510E	MCQ_L	5		16	11744	
MCQ510F	MCQ_L	.	Missing	11665	11665	
MCQ510F	MCQ_L	6		79	11744	
MCQ230A	MCQ_L	.	Missing	10575	10575	
MCQ230A	MCQ_L	14		203	10778	
MCQ230A	MCQ_L	32		203	10981	
MCQ230A	MCQ_L	30		133	11114	
MCQ230A	MCQ_L	25		81	11195	
MCQ230A	MCQ_L	39		76	11271	
MCQ230A	MCQ_L	33		71	11342	
MCQ230A	MCQ_L	16		49	11391	
MCQ230A	MCQ_L	15		49	11440	
MCQ230A	MCQ_L	38		36	11476	
MCQ230A	MCQ_L	37		35	11511	
MCQ230A	MCQ_L	23		34	11545	
MCQ230A	MCQ_L	10		30	11575	
MCQ230A	MCQ_L	19		27	11602	
MCQ230A	MCQ_L	24		24	11626	
MCQ230A	MCQ_L	21		22	11648	
MCQ230A	MCQ_L	28		14	11662	
MCQ230A	MCQ_L	99		12	11674	
MCQ230A	MCQ_L	36		10	11684	
MCQ230A	MCQ_L	26		10	11694	
MCQ230A	MCQ_L	11		7	11701	
MCQ230A	MCQ_L	22		7	11708	
MCQ230A	MCQ_L	13		6	11714	
MCQ230A	MCQ_L	35		6	11720	
MCQ230A	MCQ_L	17		5	11725	
MCQ230A	MCQ_L	31		5	11730	
MCQ230A	MCQ_L	12		4	11734	
