Variable	Table	SASLabel	EnglishText	EnglishInstructions	Target	UseConstraints	IsPhenotype	OntologyMapped
WTPH2YR	FOLFMS_L	WTPH2YR						
MCQ160A	MCQ_L	MCQ160A						
MCQ160B	MCQ_L	MCQ160B						
MCQ160C	MCQ_L	MCQ160C						
MCQ160D	MCQ_L	MCQ160D						
MCQ160E	MCQ_L	MCQ160E						
MCQ160F	MCQ_L	MCQ160F						
MCQ160M	MCQ_L	MCQ160M						
MCQ170M	MCQ_L	MCQ170M						
MCQ160P	MCQ_L	MCQ160P						
MCQ160L	MCQ_L	MCQ160L						
MCQ170L	MCQ_L	MCQ170L						
MCQ510A	MCQ_L	MCQ510A						
MCQ510B	MCQ_L	MCQ510B						
MCQ510C	MCQ_L	MCQ510C						
MCQ510D	MCQ_L	MCQ510D						
MCQ510E	MCQ_L	MCQ510E						
MCQ510F	MCQ_L	MCQ510F						
MCQ230A	MCQ_L	MCQ230A						
MCQ230B	MCQ_L	MCQ230B						
MCQ230C	MCQ_L	MCQ230C						
MCQ230D	MCQ_L	MCQ230D						
SEQN	SSCAFE_A	Respondent sequence number						
WTSSCAF2	SSCAFE_A	Surplus specimen caffeine 2 year weights						
WTSSCAF4	SSCAFE_A	Surplus specimen caffeine 4 year weights						
SSMU1	SSCAFE_A	1-methyluric acid (umol/L)						
SSMU1LC	SSCAFE_A	1-methyluric acid comment code						
SSMU3	SSCAFE_A	7-methyluric acid (umol/L)						
SSMU3LC	SSCAFE_A	7-methyluric acid comment code						
SSMU4	SSCAFE_A	1,3-dimethyluric acid (umol/L)						
SSMU4LC	SSCAFE_A	1,3-dimethyluric acid comment code						
SSMU5	SSCAFE_A	1,7-dimethyluric acid (umol/L)						
SSMU5LC	SSCAFE_A	1,7-dimethyluric acid comment code						
SSMU6	SSCAFE_A	3,7-dimethyluric acid (umol/L)						
SSMU6LC	SSCAFE_A	3,7-dimethyluric acid comment code						
SSMU7	SSCAFE_A	1,3,7-trimethyluric acid (umol/L)						
SSMU7LC	SSCAFE_A	1,3,7-trimethyluric acid comment code						
SSMX1	SSCAFE_A	1-methylxanthine (umol/L)						
SSMX1LC	SSCAFE_A	1-methylxanthine comment code						
SSMX2	SSCAFE_A	3-methylxanthine (umol/L)						
SSMX2LC	SSCAFE_A	3-methylxanthine comment code						
SSMX3	SSCAFE_A	7-methylxanthine (umol/L)						
SSMX3LC	SSCAFE_A	7-methylxanthine comment code						
SSMX4	SSCAFE_A	1,3-dimethylxanthine(theophylline)umol/L						
SSMX4LC	SSCAFE_A	1,3-dimethylxanthine comment code						
SSMX5	SSCAFE_A	1,7-dimethylxanthine(paraxanthine)umol/L						
SSMX5LC	SSCAFE_A	1,7-dimethylxanthine comment code						
SSMX6	SSCAFE_A	3,7-dimethylxanthine(theobromine)umol/L						
SSMX6LC	SSCAFE_A	3,7-dimethylxanthine comment code						
SSMX7	SSCAFE_A	1,3,7-trimethylxanthine(caffeine)umol/L						
SSMX7LC	SSCAFE_A	1,3,7-trimethylxanthine comment code						
SSAMU	SSCAFE_A	5-actylamino-6-amno-3-methyluracil(uM/L)						
SSAMULC	SSCAFE_A	5-actylamno-6-amno-3-methylucl cmnt code						
RXDDRGID	RXQ_DRUG	Generic drug code						
RXDDRUG	RXQ_DRUG	RXDDRUG						
RXDINGFL	RXQ_DRUG	RXDINGFL						
RXDDCI1A	RXQ_DRUG	RXDDCI1A						
RXDDCI1B	RXQ_DRUG	RXDDCI1B						
RXDDCI1C	RXQ_DRUG	RXDDCI1C						
RXDDCI2A	RXQ_DRUG	RXDDCI2A						
RXDDCI2B	RXQ_DRUG	RXDDCI2B						
RXDDCI2C	RXQ_DRUG	RXDDCI2C						
RXDDCI3A	RXQ_DRUG	RXDDCI3A						
