Variable	Table	CodeOrValue	ValueDescription	Count	Cumulative	SkipToItem
SDDSRVYR	DEMO_L	12	NHANES August 2021-August 2023 public release	11933	11933	
SDDSRVYR	DEMO_L	.	Missing	0	11933	
RIDSTATR	DEMO_L	1	Interviewed only	3073	3073	
RIDSTATR	DEMO_L	2	Both interviewed and MEC examined	8860	11933	
RIDSTATR	DEMO_L	.	Missing	0	11933	
RIAGENDR	DEMO_L	1	Male	5575	5575	
RIAGENDR	DEMO_L	2	Female	6358	11933	
RIAGENDR	DEMO_L	.	Missing	0	11933	
RIDAGEYR	DEMO_L	0 to 79	Range of Values	11408	11408	
RIDAGEYR	DEMO_L	80	80 years of age and over	525	11933	
RIDAGEYR	DEMO_L	.	Missing	0	11933	
RIDAGEMN	DEMO_L	0 to 24	Range of Values	377	377	
RIDAGEMN	DEMO_L	.	Missing	11556	11933	
RIDRETH1	DEMO_L	1	Mexican American	1117	1117	
RIDRETH1	DEMO_L	2	Other Hispanic	1373	2490	
RIDRETH1	DEMO_L	3	Non-Hispanic White	6217	8707	
RIDRETH1	DEMO_L	4	Non-Hispanic Black	1597	10304	
RIDRETH1	DEMO_L	5	Other Race - Including Multi-Racial	1629	11933	
RIDRETH1	DEMO_L	.	Missing	0	11933	
RIDRETH3	DEMO_L	1	Mexican American	1117	1117	
RIDRETH3	DEMO_L	2	Other Hispanic	1373	2490	
RIDRETH3	DEMO_L	3	Non-Hispanic White	6217	8707	
RIDRETH3	DEMO_L	4	Non-Hispanic Black	1597	10304	
RIDRETH3	DEMO_L	6	Non-Hispanic Asian	681	10985	
RIDRETH3	DEMO_L	7	Other Race - Including Multi-Racial	948	11933	
RIDRETH3	DEMO_L	.	Missing	0	11933	
RIDEXMON	DEMO_L	1	November 1 through April 30	4251	4251	
RIDEXMON	DEMO_L	2	May 1 through October 31	4609	8860	
RIDEXMON	DEMO_L	.	Missing	3073	11933	
RIDEXAGM	DEMO_L	0 to 239	Range of Values	2787	2787	
RIDEXAGM	DEMO_L	.	Missing	9146	11933	
DMQMILIZ	DEMO_L	1	Yes	694	694	
DMQMILIZ	DEMO_L	2	No	7606	8300	
DMQMILIZ	DEMO_L	7	Refused	1	8301	
DMQMILIZ	DEMO_L	9	Don't know	0	8301	
DMQMILIZ	DEMO_L	.	Missing	3632	11933	
