Variable	Table	SASLabel	EnglishText	EnglishInstructions	Target	UseConstraints	IsPhenotype	OntologyMapped
SEQN	DEMO_L	"Respondent sequence number
            English Text: 
            Respondent sequence number.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Respondent sequence number
            English Text: 
            Respondent sequence number.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
SDDSRVYR	DEMO_L	"Data release cycle
            English Text: 
            Data release cycle
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Data release cycle
            English Text: 
            Data release cycle
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
RIDSTATR	DEMO_L	"Interview/Examination status
            English Text: 
            Interview and examination status of the participant.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Interview/Examination status
            English Text: 
            Interview and examination status of the participant.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
RIAGENDR	DEMO_L	"Gender
            English Text: 
            Gender of the participant.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Gender
            English Text: 
            Gender of the participant.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
RIDAGEYR	DEMO_L	"Age in years at screening
            English Text: 
            Age in years of the participant at the time of screening. Individuals 80 and over are top-coded at 80 years of age.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Age in years at screening
            English Text: 
            Age in years of the participant at the time of screening. Individuals 80 and over are top-coded at 80 years of age.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
RIDAGEMN	DEMO_L	"Age in months at screening - 0 to 24 mos
            English Text: 
            Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).
            Target: 
             Both males and females 0 YEARS -
			2 YEARS"	"Age in months at screening - 0 to 24 mos
            English Text: 
            Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).
            Target: 
             Both males and females 0 YEARS -
			2 YEARS"				FALSE	False
RIDRETH1	DEMO_L	"Race/Hispanic origin
            English Text: 
            Recode of reported race and Hispanic origin information
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Race/Hispanic origin
            English Text: 
            Recode of reported race and Hispanic origin information
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
RIDRETH3	DEMO_L	"Race/Hispanic origin w/ NH Asian
            English Text: 
            Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Race/Hispanic origin w/ NH Asian
            English Text: 
            Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
RIDEXMON	DEMO_L	"Six-month time period
            English Text: 
            Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Six-month time period
            English Text: 
            Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
RIDEXAGM	DEMO_L	"Age in months at exam - 0 to 19 years
            English Text: 
            Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.
            Target: 
             Both males and females 0 YEARS -
			19 YEARS"	"Age in months at exam - 0 to 19 years
            English Text: 
            Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.
            Target: 
             Both males and females 0 YEARS -
			19 YEARS"				FALSE	False
DMQMILIZ	DEMO_L	"Served active duty in US Armed Forces
            English Text: 
            {Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)
            Target: 
             Both males and females 17 YEARS -
			150 YEARS"	"Served active duty in US Armed Forces
            English Text: 
            {Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)
            Target: 
             Both males and females 17 YEARS -
			150 YEARS"				FALSE	False
DMDBORN4	DEMO_L	"Country of birth
            English Text: 
            Country of birth
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Country of birth
            English Text: 
            Country of birth
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
DMDYRUSR	DEMO_L	"Length of time in US
            English Text: 
            Length of time the participant has been in the US.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Length of time in US
            English Text: 
            Length of time the participant has been in the US.
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
DMDEDUC2	DEMO_L	"Education level - Adults 20+
            English Text: 
            What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
            English Instructions: 
            HAND CARD DMQ1
READ HAND CARD CATEGORIES IF NECESSARY
ENTER HIGHEST LEVEL OF SCHOOL
            Target: 
             Both males and females 20 YEARS -
			150 YEARS"	"Education level - Adults 20+
            English Text: 
            What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
            English Instructions: 
            HAND CARD DMQ1
READ HAND CARD CATEGORIES IF NECESSARY
ENTER HIGHEST LEVEL OF SCHOOL
            Target: 
             Both males and females 20 YEARS -
			150 YEARS"				FALSE	False
DMDMARTZ	DEMO_L	"Marital status
            English Text: 
            Marital status
            Target: 
             Both males and females 20 YEARS -
			150 YEARS"	"Marital status
            English Text: 
            Marital status
            Target: 
             Both males and females 20 YEARS -
			150 YEARS"				FALSE	False
RIDEXPRG	DEMO_L	"Pregnancy status at exam
            English Text: 
            Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
            Target: 
             Females only 20 YEARS -
			44 YEARS"	"Pregnancy status at exam
            English Text: 
            Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
            Target: 
             Females only 20 YEARS -
			44 YEARS"				FALSE	False
DMDHHSIZ	DEMO_L	"Total number of people in the Household
            English Text: 
            Total number of people in the Household
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"	"Total number of people in the Household
            English Text: 
            Total number of people in the Household
            Target: 
             Both males and females 0 YEARS -
			150 YEARS"				FALSE	False
DMDHRGND	DEMO_L	"HH ref person’s gender
            English Text: 
            HH ref person’s gender
            Target: 
             Both males and females 0 YEARS -
			19 YEARS"	"HH ref person’s gender
            English Text: 
            HH ref person’s gender
            Target: 
             Both males and females 0 YEARS -
			19 YEARS"				FALSE	False
DMDHRAGZ	DEMO_L	"HH ref person’s age in years
            English Text: 
            HH ref person’s age in years
            Target: 
             Both males and females 0 YEARS -
			19 YEARS"	"HH ref person’s age in years
            English Text: 
            HH ref person’s age in years
            Target: 
             Both males and females 0 YEARS -
			19 YEARS"				FALSE	False
