Variable	Table	SASLabel	EnglishText	EnglishInstructions	Target	UseConstraints	IsPhenotype	OntologyMapped
SEQN	AA_H	Respondent sequence number	Respondent sequence number.		Both males and females 6 YEARS - 150 YEARS		FALSE	False
WTSA2YR	AA_H	Subsample A Weights	Subsample A Weights		Both males and females 6 YEARS - 150 YEARS		FALSE	False
URX1NP	AA_H	1-Aminonaphthalene urine (pg/mL)	1-Aminonaphthalene urine (pg/mL)		Both males and females 6 YEARS - 150 YEARS		TRUE	True
URD1NPLC	AA_H	1-Aminonaphthalene urine Comment Code	1-Aminonaphthalene urine Comment Code		Both males and females 6 YEARS - 150 YEARS		FALSE	False
URX2NP	AA_H	2-Aminonaphthalene urine (pg/mL)	2-Aminonaphthalene urine (pg/mL)		Both males and females 6 YEARS - 150 YEARS		TRUE	True
URD2NPLC	AA_H	2-Aminonaphthalene urine Comment Code	2-Aminonaphthalene urine Comment Code		Both males and females 6 YEARS - 150 YEARS		FALSE	False
URX4BP	AA_H	4-Aminobiphenyl urine (pg/mL)	4-Aminobiphenyl urine (pg/mL)		Both males and females 6 YEARS - 150 YEARS		TRUE	False
URD4BPLC	AA_H	4-Aminobiphenyl urine Comment Code	4-Aminobiphenyl urine Comment Code		Both males and females 6 YEARS - 150 YEARS		FALSE	False
URXANS	AA_H	o-Anisidine urine (pg/mL)	o-Anisidine urine (pg/mL)		Both males and females 6 YEARS - 150 YEARS		TRUE	False
URDANSLC	AA_H	o-Anisidine urine Comment Code	o-Anisidine urine Comment Code		Both males and females 6 YEARS - 150 YEARS		FALSE	False
URXDMN	AA_H	26-Dimethylaniline urine (pg/mL)	26-Dimethylaniline urine (pg/mL)		Both males and females 6 YEARS - 150 YEARS		TRUE	False
URDDMNLC	AA_H	26-Dimethylaniline urine Comment Code	26-Dimethylaniline urine Comment Code		Both males and females 6 YEARS - 150 YEARS		FALSE	False
URXOTD	AA_H	o-Toluidine urine (pg/mL)	o-Toluidine urine (pg/mL)		Both males and females 6 YEARS - 150 YEARS		TRUE	False
URDOTDLC	AA_H	o-Toluidine urine Comment Code	o-Toluidine urine Comment Code		Both males and females 6 YEARS - 150 YEARS		FALSE	False
SEQN	AAS_H	Respondent sequence number	Respondent sequence number.		Both males and females 18 YEARS - 150 YEARS		FALSE	False
WTFSM	AAS_H	Two Year Smoking Weights	Two Year Smoking Weights		Both males and females 18 YEARS - 150 YEARS		FALSE	False
URX1NP	AAS_H	1-Aminonaphthalene urine (pg/mL)	1-Aminonaphthalene urine (pg/mL)		Both males and females 18 YEARS - 150 YEARS		TRUE	True
URD1NPLC	AAS_H	1-Aminonaphthalene urine Comment Code	1-Aminonaphthalene urine Comment Code		Both males and females 18 YEARS - 150 YEARS		FALSE	False
URX2NP	AAS_H	2-Aminonaphthalene urine (pg/mL)	2-Aminonaphthalene urine (pg/mL)		Both males and females 18 YEARS - 150 YEARS		TRUE	True
URD2NPLC	AAS_H	2-Aminonaphthalene urine Comment Code	2-Aminonaphthalene urine Comment Code		Both males and females 18 YEARS - 150 YEARS		FALSE	False
URX4BP	AAS_H	4-Aminobiphenyl urine (pg/mL)	4-Aminobiphenyl urine (pg/mL)		Both males and females 18 YEARS - 150 YEARS		TRUE	False
URD4BPLC	AAS_H	4-Aminobiphenyl urine Comment Code	4-Aminobiphenyl urine Comment Code		Both males and females 18 YEARS - 150 YEARS		FALSE	False
URXANS	AAS_H	o-Anisidine urine (pg/mL)	o-Anisidine urine (pg/mL)		Both males and females 18 YEARS - 150 YEARS		TRUE	False
URDANSLC	AAS_H	o-Anisidine urine Comment Code	o-Anisidine urine Comment Code		Both males and females 18 YEARS - 150 YEARS		FALSE	False
URXDMN	AAS_H	26-Dimethylaniline urine (pg/mL)	26-Dimethylaniline urine (pg/mL)		Both males and females 18 YEARS - 150 YEARS		TRUE	False
URDDMNLC	AAS_H	26-Dimethylaniline urine Comment Code	26-Dimethylaniline urine Comment Code		Both males and females 18 YEARS - 150 YEARS		FALSE	False
URXOTD	AAS_H	o-Toluidine urine (pg/mL)	o-Toluidine urine (pg/mL)		Both males and females 18 YEARS - 150 YEARS		TRUE	False
URDOTDLC	AAS_H	o-Toluidine urine Comment Code	o-Toluidine urine Comment Code		Both males and females 18 YEARS - 150 YEARS		FALSE	False
SEQN	ACQ	Respondent sequence number	Respondent sequence number.		Both males and females 12 YEARS - 120 YEARS		FALSE	False
ACQ005	ACQ			BOX 1. CHECK ITEM ACQ.005: IF SP CODED HISPANIC IN SCREENER GO TO ACQ.020. OTHERWISE CONTINUE.	Both males and females 12 YEARS - 120 YEARS		FALSE	False
ACD010A	ACQ	English usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 120 YEARS		TRUE	False
ACD010B	ACQ	Spanish usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 120 YEARS		TRUE	False
ACD010C	ACQ	Other language(s) usually spoken at home	What language(s) {do you/does SP} usually speak at home?	CODE ALL THAT APPLY	Both males and females 12 YEARS - 120 YEARS		TRUE	True
