"Variable"	"Table"	"CodeOrValue"	"ValueDescription"	"Count"	"Cumulative"	"SkipToItem"
"WTSA2YR"	"AA_H"	"16284.37488 to 530325.34726"	"Range of Values"	2724	2724	
"WTSA2YR"	"AA_H"	"0"	"No Lab Result"	31	2755	
"WTSA2YR"	"AA_H"	"."	"Missing"	0	2755	
"URX1NP"	"AA_H"	"0.91 to 441"	"Range of Values"	2478	2478	
"URX1NP"	"AA_H"	"."	"Missing"	277	2755	
"URD1NPLC"	"AA_H"	"0"	"At or above detection limit"	1776	1776	
"URD1NPLC"	"AA_H"	"1"	"Below lower detection limit"	702	2478	
"URD1NPLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2478	
"URD1NPLC"	"AA_H"	"."	"Missing"	277	2755	
"URX2NP"	"AA_H"	"1.97 to 428"	"Range of Values"	2488	2488	
"URX2NP"	"AA_H"	"."	"Missing"	267	2755	
"URD2NPLC"	"AA_H"	"0"	"At or above detection limit"	1853	1853	
"URD2NPLC"	"AA_H"	"1"	"Below lower detection limit"	635	2488	
"URD2NPLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2488	
"URD2NPLC"	"AA_H"	"."	"Missing"	267	2755	
"URX4BP"	"AA_H"	"1.24 to 1310"	"Range of Values"	2492	2492	
"URX4BP"	"AA_H"	"."	"Missing"	263	2755	
"URD4BPLC"	"AA_H"	"0"	"At or above detection limit"	1948	1948	
"URD4BPLC"	"AA_H"	"1"	"Below lower detection limit"	544	2492	
"URD4BPLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2492	
"URD4BPLC"	"AA_H"	"."	"Missing"	263	2755	
"URXANS"	"AA_H"	"4.96 to 4080"	"Range of Values"	2332	2332	
"URXANS"	"AA_H"	"."	"Missing"	423	2755	
"URDANSLC"	"AA_H"	"0"	"At or above detection limit"	2282	2282	
"URDANSLC"	"AA_H"	"1"	"Below lower detection limit"	50	2332	
"URDANSLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2332	
"URDANSLC"	"AA_H"	"."	"Missing"	423	2755	
"URXDMN"	"AA_H"	"11.08 to 13600000"	"Range of Values"	2375	2375	
"URXDMN"	"AA_H"	"."	"Missing"	380	2755	
"URDDMNLC"	"AA_H"	"0"	"At or above detection limit"	1525	1525	
"URDDMNLC"	"AA_H"	"1"	"Below lower detection limit"	850	2375	
"URDDMNLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2375	
"URDDMNLC"	"AA_H"	"."	"Missing"	380	2755	
"URXOTD"	"AA_H"	"78.64 to 16600"	"Range of Values"	2412	2412	
"URXOTD"	"AA_H"	"."	"Missing"	343	2755	
"URDOTDLC"	"AA_H"	"0"	"At or above detection limit"	2060	2060	
"URDOTDLC"	"AA_H"	"1"	"Below lower detection limit"	352	2412	
"URDOTDLC"	"AA_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2412	
"URDOTDLC"	"AA_H"	"."	"Missing"	343	2755	
"WTFSM"	"AAS_H"	"6426.907677 to 456840.9815"	"Range of Values"	2546	2546	
"WTFSM"	"AAS_H"	"0"	"No Lab Result"	59	2605	
"WTFSM"	"AAS_H"	"."	"Missing"	0	2605	
"URX1NP"	"AAS_H"	"0.91 to 498"	"Range of Values"	2325	2325	
"URX1NP"	"AAS_H"	"."	"Missing"	280	2605	
"URD1NPLC"	"AAS_H"	"0"	"At or above detection limit"	1809	1809	
"URD1NPLC"	"AAS_H"	"1"	"Below lower detection limit"	516	2325	
"URD1NPLC"	"AAS_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2325	
"URD1NPLC"	"AAS_H"	"."	"Missing"	280	2605	
"URX2NP"	"AAS_H"	"1.97 to 428"	"Range of Values"	2355	2355	
"URX2NP"	"AAS_H"	"."	"Missing"	250	2605	
"URD2NPLC"	"AAS_H"	"0"	"At or above detection limit"	1885	1885	
"URD2NPLC"	"AAS_H"	"1"	"Below lower detection limit"	470	2355	
"URD2NPLC"	"AAS_H"	"2"	"Detectable result and exceeds the calibrated range of assay"	0	2355	
